Pickup Latitude,Pickup Longitude,Drop Latitude,Drop Longitude
12.9636061,77.7156137,12.990976,77.7157208
12.9681745,77.6915825,12.98382,77.7833512
12.8677991,77.6166843,12.8798044,77.6491871
12.8693601,77.6174079,12.8798044,77.6491871
12.9431576,77.6087124,12.8817789,77.4706388
12.9431576,77.6087124,13.008921,77.7513327
12.942555,77.6142564,13.008921,77.7513327
12.9420036,77.6083044,12.9719321,77.512749
12.9646414,77.7168573,12.990976,77.7157208
12.985712,77.644678,12.9677344,77.740651
12.9859106,77.645004,12.9322973,77.5343702
12.9540164,77.6586235,13.0389869,77.6328499
12.9413743,77.6238098,12.996993,77.669031
12.9489121,77.5593379,12.9970483,77.6144076
12.9407077,77.6086316,13.008921,77.7513327
12.9742141,77.666299,12.9376522,77.6224871
13,77.6
